CODE,NAME,COMMON NAME,OWNERSHIP,TYPE,STATUS,ZONE,DISTRICT,DATE OPENED,Year_Opened,LATITUDE,LONGITUDE
ZA231119,Namasalima Health Centre,Namasalima,Government,Health Centre,Functional,South West Zone,Zomba,Feb 12th 80,Before Flood,-15.23142,35.48876
BLK171185,Njerenje,Njerenje,Government,Clinic,Functional,South West Zone,Balaka,Feb 18th 12,Before Flood,-23,34
BLK170884,Mbera Health Centre,Mbera,Government,Clinic,Functional,South West Zone,Balaka,Feb 23rd 96,Before Flood,-14.91088,35.05326
ZA231182,Ngwelero Health Centre,Ngwelero,Government,Clinic,Functional,South West Zone,Zomba,Feb 5th 94,Before Flood,-15.66645,35.42718
BLK171125,Nandumbo Health Centre,Nandumbo,Government,Health Centre,Functional,South West Zone,Balaka,Jan 10th 11,Before Flood,-14.85169,35.22552
BLK171089,Mwima Health Post,Mwima,Government,Health Post,Functional,South West Zone,Balaka,Jan 12th 15,Before Flood,-14.92967,35.18498
ZA230241,Chinguma,Chinguma,Government,Health Post,Functional,South West Zone,Zomba,Jan 1st 06,Before Flood,-15.230167,35.800284
ZA230724,Lungazi,Lungazi,Government,Health Post,Functional,South West Zone,Zomba,Jan 1st 06,Before Flood,-15.418725,35.846034
ZA231180,Ngotangota,Ngotangota,Government,Health Post,Functional,South West Zone,Zomba,Jan 1st 06,Before Flood,-15.295999,35.82282
BLK170117,Buleya,Chingagwe,Government,Clinic,Functional,South West Zone,Balaka,Jan 1st 07,Before Flood,-542183,+70989711
ZA230851,Masm Medi Clinic Zomba,Masm,Private,Clinic,Functional,South West Zone,Zomba,Jan 1st 08,Before Flood,-15.37823,35.331592
BLK170054,Balaka Dream Clinic,Dream Clinic,Christian Health Association of Malawi (CHAM),Clinic,Functional,South West Zone,Balaka,Jan 1st 09,Before Flood,-15.00322,34.95248
BLK170055,Balaka Private Clinic,Balaka Private Clinic,Private,Clinic,Functional,South West Zone,Balaka,Jan 1st 10,Before Flood,-14.98339,34.9617
BLK170793,Makunganya Private Clinic,Maku private Clinic,Private,Clinic,Functional,South West Zone,Balaka,Jan 1st 11,Before Flood,-14.98521,34.94269
ZA231515,HABIB MUSSA MEDICAL CLINIC,Habib Mussa,Private,Clinic,Functional,South West Zone,Zomba,Jan 1st 13,Before Flood,-15.390336,35.312330
BLK170288,Chithandizo Private Clinic,Chinthandizo,Private,Clinic,Functional,South West Zone,Balaka,Jan 1st 14,Before Flood,-542183,56821457
BLK170224,Chimatiro,Chimatiro,Government,Dispensary,Functional,South West Zone,Balaka,Jan 1st 15,Before Flood,-14.962681,35.023092
CK270193,Chikwawa District Hospital,Chikwawa,Government,District Hospital,Functional,South East Zone,Chikwawa,Jan 1st 37,Before Flood,-16.0231,34.79346
ZA230779,Magomero Rural Hospital,Magomero,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Zomba,Jan 1st 40,Before Flood,-15.56147,35.26101
ZA231140,Nasawa Health Centre,Nasawa,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 56,Before Flood,-15.6023,35.25956
BT240962,Mlambe Mission Hospital,Mlambe,Christian Health Association of Malawi (CHAM),Hospital,Functional,South East Zone,Blantyre,Jan 1st 63,Before Flood,-15.64466,35.01733
ZA231371,St. Lukes Mission Hospital,Malosa,Christian Health Association of Malawi (CHAM),Hospital,Functional,South West Zone,Zomba,Jan 1st 64,Before Flood,-15.20914,35.35291
ZA230149,Chancellor College,Chanco clinic,Parastatal,Clinic,Functional,South West Zone,Zomba,Jan 1st 65,Before Flood,-15.38533,35.33213
ZA230212,Chilipa Health Centre,Chilipa,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Zomba,Jan 1st 67,Before Flood,-15.32447,35.11715
ZA231126,Namikango,Namikango,Christian Health Association of Malawi (CHAM),Clinic,Functional,South West Zone,Zomba,Jan 1st 72,Before Flood,-15.47723,35.24056
ZA230868,Mayaka Health Centre,Mayaka,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Zomba,Jan 1st 73,Before Flood,-15.57355,35.3728
BT240003,A-C Opticals,A.C Opticals,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.8,35.03
BT240005,Akwezeke PVT Clinic,Akwezeke Pvt,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.84,35.09
BT240006,AB Medical Clinic,Abowa,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.84000,35.09000
ZA230015,Airwing Dispensary,Airwing,Government,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.38876,35.38508
CZ260018,Akasale Private Clinic,Akasale,Private,Hospital,Non-functional,South East Zone,Chiradzulu,Jan 1st 75,Before Flood,-15.7596,35.11493
MHG190020,Alinafe Private,Alinafe,Private,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.79853,35.44326
MH200021,Alinafe private clinic,Alinafe Private Clinic,Private,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.48,35.26
CK270025,Alumenda Health Centre,Alumenda,Private,Health Centre,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.403467,34.885647
TO310026,Amalika Dispensary,Amalika,Government,Dispensary,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.99203,35.03183
BT240028,AMECA (Chilaweni),AMECA (Chilaweni),Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.703336,35.04442
BT240029,Amitofo Health care centre,Amitofo,Non-Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
BT240032,Aquid Lifeline Project,Aquid Lifeline Clinic,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.62217,35.05604
BT240041,Arthur Garden,Chitekwe,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.84000,35.0900
MH200045,Assalam Clinic,As-slam clinic,Other,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.54537,35.19221
MH200047,Atupele Pvt Clinic,Atupele Pvt Clinic,Private,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.231804161355367,34.837612054143655
BT240048,Auction Holdings,Auction Holdings Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81195,35.06417
BT240051,Ayali Private Clinic,Ayali Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.6600,35.0200
BLK170052,Balaka Blm Clinic,Balaka Banja La Mtsogolo clinic,Non-Government,Clinic,Functional,South West Zone,Balaka,Jan 1st 75,Before Flood,-14.98876,34.95557
BLK170053,Balaka District Hospital,Balaka District Hospital,Government,District Hospital,Functional,South West Zone,Balaka,Jan 1st 75,Before Flood,-14.98498,34.94959
MH200056,Bamusi Post,Bamusi Post,Government,Health Post,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,,
BT240058,Bangwe BLM,Bangwe BLM,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
BT240059,Bangwe Health Centre,Bangwe,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-16.09081587719848,35.09400017569067
BT240061,Banja Care Clinic,Banja Care Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-16.01,35.49
BT240063,Banzi,Banzi,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
BT240068,Beit Cure International,Beit Cure,Non-Government,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.80354,35.01753
CK270069,Beleu Health Centre,Beleu,Government,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.15199,34.85376
CK270070,Bello,Bello,Private,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.26044,34.86844
BT240071,Belton Kapyepye Memorial Clini,Belton Kapyepye Memorial Clini,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.80869,34.99434
BT240074,Bernald Kachale Pvt Clinic,Kachale,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.78018,35.07352
TO310075,Bethesda,Bethesda,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.01,35.31
BT240078,"Bhuptani, Girishkumar C.",BKM PVT Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.78826,35.00554
MH200082,Billy Riordan Memorial Dispensary,Billy Riordan clinic,Non-Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.03205,34.84044
ZA230083,Bimbi Health Centre,Bimbi,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.30876,35.4794
BT240084,Blantyre Adventist Hospital,Blantyre Adventist Hospital,Private,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.926643734053442,34.82984271712712
BT240085,Blantyre Civic Centre,City assembly,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.8,35.04
BT240086,Blantyre DHO Pharmarcy,Blantyre DHO Pharmarcy,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-13.2512161,34.3015278
BT240087,Blantyre Dream Project (Mandala),Blantyre Dream Project (Mandala),Non-Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.79182,35.01273
BT240088,Blantyre Medicare CityCentre Clinic City Centre Clinic Makadam Pvt Clinic,Blantyre Medicare CityCentre Clinic City Centre Clinic Makadam Pvt Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.786933,35.007778
BT240089,Blantyre Water Board - Mudi,Blantyre Water Board - Mudi,Other,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.7953,35.03811
BT240090,Blantyre Water Board - Walkers,Waterboard Clinic-Mudi,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
TO310093,BLM Bvumbwe Clinic,Banja la mtsogolo,Non-Government,Clinic,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.93133,35.08213
MHG190096,BLM Liwonde Clinic,Banja la Mtsongolo,Non-Government,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-15.0694,35.22766
BT240097,BLM Lunzu,BLM Lunzu,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.65114,35.02028
BT240104,BLM Sunny Side B,Banja Lamtsogolo,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.800,35.000 
BT240105,BLM Zingwangwa Clinic,BLM Zingwangwa Clinic,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81847,35.01171
MJ210106,Bloomfield,Bloomfield,Private,Dispensary,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.057405,35.673299
TO310120,Bvumbwe Clinic - Limbe Muslim Jamat,Bvumbwe Clinic - Limbe Muslim Jamat,Non-Government,Dispensary,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,,
TO310121,Bvumbwe Health Centre,Research,Government,Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.93981,35.02633
BT240129,Carlsberg / Sobo Blantyre,SOBO,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.79,35.03
BT240133,Central East African Railways,Railways Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81536,35.0633
BT240136,Chavala Health Centre,Chabvala,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.83372,34.83461
CK270141,Chama,Chama,Private,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.264938,34.868513
MHG190143,Chamba Dispensary,Chamba,Government,Dispensary,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-15.20234,35.42137
CK270150,Chang'Ambika Health Centre,Chang'ambika,Government,Health Centre,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-15.80301,34.30928
TO310152,Changata Health Centre,Changata,Government,Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.078196,35.061008
CK270154,"Chanza, Edwin, Erapecha Clinic",Erapecha,Private,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.26044,34.86844
CK270155,Chapananga Health Centre,Mkadana,Government,Clinic,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.00551,34.48567
MH200156,Chapola,Chapola,Private,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,,
CK270157,Chapwaila Health Centre,Chipwaila Health Centre,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.39842,34.77572
MHG190159,Chapusa,Chapusa,Government,Health Post,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.94175,35.613673
ZA230160,"chavula ,Henry k.Mpunga private clinic",chavula,Private,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.41083,35.32392
TO310161,Chawani,Chawone,Government,Dispensary,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.078196,35.061008
MJ210168,Chibathi,Chibathi,Christian Health Association of Malawi (CHAM),Health Post,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.071315,35.482338
BT240169,Chichiri Escom,Chichiri ESCOM Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.79342,35.02444
BT240170,Chichiri Prison,Chichiri Prison Clinic,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.80577,35.03242
NE300172,Chididi Health Centre,Chididi,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Nsanje,Jan 1st 75,Before Flood,-16.91495,35.17333
BLK170173,Chiendausiku Health Centre,chiendausiku,Government,Health Centre,Functional,South West Zone,Balaka,Jan 1st 75,Before Flood,-15.01855,35.07653
BT240175,"Chifundo, Monje Pvt Clinic",Chifundo private clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.77562,34.98003
NN290176,Chifunga Health Centre,Chifunga Health center,Government,Health Centre,Functional,South East Zone,Neno,Jan 1st 75,Before Flood,-15.59825,34.69892
BT240177,Chigeli,Chogeli clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.841674,35.044006
BT240180,Chigumula,Chigumula Clinic,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.89,35.06
MH200185,Chikole Health Centre,Chikole,Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.422,35.38427
BT240187,Chikowa Health Centre,Chikowa,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-13.2512161,34.3015278
MJ210189,Chikuli,chikuli,Private,Dispensary,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.052873,35.645496
BT240198,Chilani,Chilani,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.82874,35.00677
BT240202,Chileka Health Centre,Chileka,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-13.2512161,34.3015278
BT240204,Chileka SDA,Malamulo,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.65986,34.92904
TO310205,Chilengo,Chilengo,Government,Dispensary,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.136105,35.015899
BT240207,Chirimba health centre,Chirimba,Government,Dispensary,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.746368,35.022984
MJ210210,Chilingwe,chilingwe,Private,Dispensary,Non-functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.004056,35.648588
MH200211,Chilipa Health Centre,Chilipa,Government,Health Centre,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.6996,34.9732
BT240213,Chilobwe,Chilobwe Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.83305,35.00742
BT240215,Chilomoni,Chilomoni pvt clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.77435,34.98145
BT240216,Chilomoni Health Centre,Chilomoni,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.77128,34.98156
BT240217,Chilomoni BLM,BLM Chilomoni Clinic,Non-Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
MH200218,Chilonga Health care,Chilonga,Government,Health Centre,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.46684,34.87097
TO310222,Chimaliro Health Centre,Chimaliro Health Centre,Government,Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.97706,35.18162
MHG190226,Chimbira,Chimbira,Government,Health Post,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.601369,35.805155
BT240227,Chimembe Health Centre,Chimembe,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.77733,34.88548
TO310230,Chimvu,Chimvu,Government,Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.94198,35.12308
ZA230235,Chinamwali Private Clinic,Maseko,Private,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.3816,35.35584
NE300236,Ching'oma Health Post,Ching'oma ,Government,Health Post,Functional,South East Zone,Nsanje,Jan 1st 75,Before Flood,-16.999306,35.109333
TO310237,Chingadzi Rural Hospital,Chingadzi Hospital,Christian Health Association of Malawi (CHAM),Hospital,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.91842,35.20595
ZA230238,Chingale Health Centre,Chingale,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.39694,35.1808
BT240242,Chinjovu,Chinjobvu clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.73676,35.0192
TO310252,Chipho Health Centre,Chipho,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.171528,35.110222
MHG190256,Chipolonga,Chipolonga,Government,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.855441,35.685485
MH200257,Chiponde Dispensary,Chiponde,Government,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.373431,35.601622
BT240262,Chirani Pvt Clinic,Chilani,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
MJ210267,Chisambo Estate Clinic,chisambo,Other,Clinic,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.03822,35.70899
ZA230270,Chisi Health Centre,Chisi ,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.331323,35.618214
TO310276,Chisomo Dental Clinic.,Chisomo Dental Clinic.,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.01,35.31
TO310278,Chisunga,Chisunga,Government,Health Post,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,,
MHG190279,Chisuwi,Chisuwi,Government,Health Post,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.968767,35.45754
BT240281,Chitawira Private Hospital,Gombwa,Private,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81293,35.02274
BT240284,Chitekwe Arthur D. Arthur Gar,Chitekwe Arthur D. Arthur Gar,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.83626,35.09193
CZ260286,Chitera Health Centre,Chitera,Government,Health Centre,Functional,South East Zone,Chiradzulu,Jan 1st 75,Before Flood,-15.60646,35.12306
TO310289,Chithebe Dispensary,chithebe dispensary,Government,Dispensary,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.00218,35.01294
CK270291,Chithumba Health Centre,Chithumba Health Centre,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-15.80369,34.47629
MHG190295,Chitundu,Chitundu,Government,Health Post,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.915042,35.650339
MH200296,Chiumbangame Dispensary,Chiumbangame,Government,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.31739,35.55721
MH200297,Chiunda Dispensary,Chiunda,Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.77744,35.43901
ZA230317,City Clinic Zomba,Manicipality,Government,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.39072,35.32416
ZA230318,Cobbe Barracks,Barracks,Parastatal,Hospital,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.39094,35.30534
BLK170321,Comfort Clinic,Andiamo,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Balaka,Jan 1st 75,Before Flood,-15.00318,34.95244
ZA230322,Compassionate Mission Clinic,Mpinganjira,Private,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.32402,35.39372
BT240326,Dalirani,Dalirani Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.82529,35.08039
BT240331,Dawn Private,Dawn Private,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
